Nome,CPF,RG,Data de Nascimento,Sexo,Mãe,Pai,E-mail,CEP,Endereço,Número,Bairro,Cidade,Estado,Telefone,Celular
Severino Cauã Marcelo de Paula,789.511.558-89,17.571.830-1,01/06/1963,Masculino,Letícia Rafaela Eduarda,Vinicius Luiz de Paula,severino-depaula96@deltaturismo.com.br,15991-525,Rua Antonio Garbin,979,Nova Cidade,Matão,SP,(16) 3779-5647,(16) 98617-4800
Tatiane Nicole Liz dos Santos,989.785.038-45,21.907.907-9,26/05/1949,Feminino,Elza Giovana Catarina,João Ian dos Santos,tatiane_nicole_dossantos@progetamos.com.br,15990-810,Avenida Professora Chlorita Penteado Martins,340,Jardim Pereira,Matão,SP,(16) 2533-9746,(16) 99378-1155
Nicole Regina Viana,404.582.988-16,10.805.323-4,19/04/1945,Feminino,Gabriela Sara,Henrique Vitor Viana,nicole_regina_viana@ativa.inf.br,15997-004,Avenida Josephina Nucci Vidal,743,Vivelândia,Matão,SP,(16) 3891-6869,(16) 99241-0594
Luan Fábio Porto,239.587.298-94,35.048.170-2,09/05/1976,Masculino,Sônia Flávia,Vinicius Raul Porto,luan-porto90@piscinasegura.com.br,15995-234,Avenida José Lino Rodrigues,128,Jardim Senhor Bom Jesus,Matão,SP,(16) 2921-6866,(16) 99436-3934
Bernardo Bernardo Nascimento,085.019.998-06,35.278.069-1,03/05/2001,Masculino,Mariah Sophia Sabrina,Kauê Jorge Hugo Nascimento,bernardo_bernardo_nascimento@chalu.com.br,15993-202,Alameda Irene Brandes,693,Boa Vista,Matão,SP,(16) 3524-4149,(16) 98237-6607
Otávio Pedro Henrique Jesus,904.024.148-10,20.202.279-1,03/05/1970,Masculino,Benedita Raimunda Larissa,Kevin Roberto Jesus,otavio_jesus@mmarques.com,15990-464,Rua Jaboticabal,505,Recanto dos Pinheiros,Matão,SP,(16) 3919-3665,(16) 98485-6715
Heloisa Sônia Costa,371.511.518-10,18.491.485-1,01/06/2004,Feminino,Liz Eliane Jéssica,Carlos Eduardo Henrique Roberto Costa,heloisasoniacosta@mnproducoes.com,15990-762,Avenida Antônio Coelho,607,Residencial Maria Cândida,Matão,SP,(16) 3847-7438,(16) 98634-6072
Igor Renan Igor Lima,696.000.618-07,28.598.681-8,24/03/1994,Masculino,Maya Laura Ana,Danilo André Osvaldo Lima,igor_renan_lima@r7.com,15997-440,Rua Jovelino Constantino,627,Jardim Novo Mundo,Matão,SP,(16) 2675-1665,(16) 98608-7828
Fabiana Andreia Nogueira,674.775.078-04,35.063.278-9,14/04/1949,Feminino,Carla Maitê,Ian Manoel Raul Nogueira,fabiana_andreia_nogueira@outloock.com,15995-272,Rua Alfeu Tadei,565,Jardim Esperança,Matão,SP,(16) 2746-2881,(16) 98419-3678
Sebastião Tomás Moura,114.616.608-74,17.736.312-5,12/02/2002,Masculino,Ayla Vanessa,Bento Anthony Vicente Moura,sebastiao_tomas_moura@univap.br,15991-274,Rua Alberto Bidutti,282,Park do Imperador,Matão,SP,(16) 3778-6549,(16) 99669-4360
Yago Luís Almeida,569.526.638-60,17.532.650-2,08/01/1990,Masculino,Camila Emilly,Ruan Carlos Eduardo Roberto Almeida,yago-almeida72@andrelam.com.br,15997-428,Rua dos Carteiros,499,Jardim Novo Mundo,Matão,SP,(16) 2779-6499,(16) 98668-5488
Eliane Gabriela Caldeira,709.696.058-97,28.254.917-1,03/06/1979,Feminino,Andrea Daniela,Osvaldo Matheus Breno Caldeira,eliane_caldeira@skyzepp.com,15995-278,Rua Professor Octacílio Ribeiro,963,Jardim Esperança,Matão,SP,(16) 3917-3406,(16) 98892-4035
Isabel Marina Martins,817.863.198-96,22.894.344-9,05/02/1961,Feminino,Rayssa Yasmin,Oliver Raimundo Martins,isabel_marina_martins@monsanto.com,15995-218,Rua José de Paula,111,Jardim Senhor Bom Jesus,Matão,SP,(16) 2961-1662,(16) 99416-7223
Henry Leandro Lopes,547.650.878-32,23.559.411-8,20/03/1957,Masculino,Débora Mariah,Bernardo Leandro Felipe Lopes,henry-lopes82@poolrescue.com.br,15999-013,Rua Primo Zanazzi,661,São Lourenço do Turvo,Matão,SP,(16) 3958-5539,(16) 98721-1317
Pietro Diego Cardoso,875.020.858-66,27.999.827-2,07/02/1982,Masculino,Rita Melissa Jaqueline,Erick Caio Cardoso,pietrodiegocardoso@heindmec.com.br,15998-830,Rua Jurandir Libório,452,Silvania,Matão,SP,(16) 2952-8609,(16) 99481-1265
Fabiana Flávia Carvalho,761.027.738-02,20.833.359-9,24/03/1984,Feminino,Bruna Isabella Maitê,Luiz Yago Arthur Carvalho,fabiana-carvalho87@vegacon.com.br,15996-074,Rua Luiz Cioffi,541,Jardim Brasil,Matão,SP,(16) 3911-7931,(16) 98113-9685
Eloá Raimunda Melo,433.800.138-03,42.006.970-7,18/05/1948,Feminino,Aurora Allana,Márcio Elias Melo,eloaraimundamelo@reval.net,15997-022,Rua Otone Corrêa,796,Bela Vista,Matão,SP,(16) 2678-8768,(16) 98745-0148
Alexandre Martin Francisco Oliveira,998.052.058-27,47.034.162-2,11/05/1943,Masculino,Marina Laís,Manuel Arthur Oliveira,alexandremartinoliveira@jglima.com.br,15995-226,Rua Henrique Furini,486,Jardim Senhor Bom Jesus,Matão,SP,(16) 3936-5255,(16) 98687-2112
Kevin Bruno Marcos das Neves,203.788.078-20,37.170.979-9,03/06/1966,Masculino,Nair Rita,Osvaldo Guilherme das Neves,kevin-dasneves95@ig.com.br,15997-140,Avenida Trolesi,532,Jardim Popular,Matão,SP,(16) 3898-8828,(16) 99642-0399
Nina Clarice Rosa Moraes,619.137.998-67,47.142.037-2,13/04/1998,Feminino,Rafaela Betina Carla,Edson Cauê Ryan Moraes,nina_clarice_moraes@predilectasorocaba.com.br,15990-608,Rua Professora Babi Ferraz Marquezi,814,Nova Matão,Matão,SP,(16) 2766-3514,(16) 98530-0046
José Yuri Yago Souza,248.097.798-66,38.320.515-3,22/02/2001,Masculino,Eloá Antonella Helena,Luan Noah Thomas Souza,jose.yuri.souza@zk.arq.br,15997-174,Rua Dolvalino Agostini,232,Jardim Popular,Matão,SP,(16) 2563-5599,(16) 98338-5985
Luís Thales Assunção,738.219.838-33,23.484.510-7,03/06/1985,Masculino,Sophia Daniela Tatiane,Enzo Samuel Raimundo Assunção,luis_thales_assuncao@unidademovel.com,15995-270,Rua Luiz Bovaline Neto,547,Jardim Esperança,Matão,SP,(16) 2731-6789,(16) 99596-9363
Ruan Tomás Assis,323.287.468-10,35.190.325-2,10/05/2005,Masculino,Sônia Sarah Mariana,Levi Diogo Assis,ruantomasassis@clubedorei.com.br,15991-412,Avenida Quatro,442,Parque Industrial Toriba,Matão,SP,(16) 3768-6113,(16) 99122-3465
Simone Lúcia Corte Real,865.696.608-10,50.695.042-6,09/02/1974,Feminino,Marli Evelyn Stefany,Kauê Manoel Martin Corte Real,simone-cortereal72@valparaibaimoveis.com.br,15992-535,Avenida Omero de Souza Santos,754,Retiro,Matão,SP,(16) 2979-8060,(16) 98425-2539
Renato Guilherme Benjamin Costa,000.582.708-68,14.781.135-1,13/01/2000,Masculino,Rita Caroline Sandra,Luís Pedro Costa,renato_guilherme_costa@solucao.adm.br,15997-140,Avenida Trolesi,448,Jardim Popular,Matão,SP,(16) 3558-9345,(16) 99459-3642
Manuela Clara Luciana Moura,074.153.488-69,30.851.270-4,10/04/1945,Feminino,Elisa Stefany Sophia,Severino Roberto Moura,manuela-moura96@gasparalmeida.com,15997-109,Avenida Mato Grosso do Sul,168,Jardim do Bosque,Matão,SP,(16) 2758-4411,(16) 98892-0965
Raquel Antônia Melissa Ramos,534.118.068-26,26.878.624-0,02/03/1992,Feminino,Letícia Julia,Francisco Kaique Eduardo Ramos,raquel_ramos@biconsult.com.br,15990-370,Rua Nhonhô Magalhães,404,Vila Santa Cruz,Matão,SP,(16) 3793-2558,(16) 98636-9972
Erick Roberto da Mata,768.797.698-37,15.607.058-3,16/01/1953,Masculino,Raimunda Jaqueline Fernanda,Osvaldo Otávio Diego da Mata,erick.roberto.damata@carolpessoa.com.br,15990-272,Rua Domingos Schiavetto,868,Jardim Ballista,Matão,SP,(16) 2629-7815,(16) 98232-3336
Osvaldo Luís Manoel Santos,081.100.568-22,15.644.638-8,13/05/1947,Masculino,Mariana Daniela Bárbara,Henrique Bernardo Santos,osvaldoluissantos@tvglobo.com.br,15991-260,Rua João Honório Mendonça,683,Park do Imperador,Matão,SP,(16) 3689-1989,(16) 99114-5802
Tomás Breno Porto,787.336.728-22,34.931.308-8,09/03/1968,Masculino,Jennifer Luiza Benedita,Edson Eduardo Porto,tomas_porto@companhiadigital.net,15995-062,Avenida Gildo Nicolucci,118,Vila Maria,Matão,SP,(16) 3808-3515,(16) 98585-4409
Lívia Aurora Natália Cavalcanti,124.112.448-51,45.979.381-0,03/01/1973,Feminino,Mariah Carla,Julio Thiago André Cavalcanti,livia.aurora.cavalcanti@jcffactoring.com.br,15993-622,Avenida Francisco Carlos Pereira Trindade,646,Parque dos Ipês,Matão,SP,(16) 2614-7045,(16) 99620-9266
Rodrigo Ruan Theo Almada,526.650.398-00,28.687.774-0,23/04/1949,Masculino,Sueli Débora Priscila,Osvaldo Theo Davi Almada,rodrigo.ruan.almada@scalioni.com.br,15998-827,Avenida Antonio Pedro da Silva,314,Silvania,Matão,SP,(16) 3956-6260,(16) 98817-1260
Gustavo João Nunes,324.941.698-36,22.773.302-2,17/04/1989,Masculino,Clarice Eduarda Nina,Julio Gael Carlos Nunes,gustavo.joao.nunes@ci.com.br,15997-538,Rua Carmela Caetano Coledan,605,Portal Terra da Saudade,Matão,SP,(16) 2924-8797,(16) 99269-8987
Heloise Allana Barbosa,305.557.068-50,18.239.288-0,20/05/1978,Feminino,Louise Josefa,Bento Diego Barbosa,heloiseallanabarbosa@robertacorrea.com,15990-828,Avenida Urbano Pereira Aguiar,600,Jardim Pereira,Matão,SP,(16) 3817-5220,(16) 98793-5236
Milena Sebastiana Bernardes,450.274.898-62,42.335.093-6,08/01/1957,Feminino,Alana Olivia Vanessa,Paulo Caleb Bernardes,milenasebastianabernardes@scuderiagwr.com.br,15997-516,Rua Antonio Nonis,307,Portal Terra da Saudade,Matão,SP,(16) 2623-7134,(16) 99730-6644
Luzia Nina Aparecida Aragão,303.955.328-33,38.185.402-4,20/01/2000,Feminino,Aparecida Isabel,Geraldo Filipe Aragão,luzia_aragao@creativeinteriores.com.br,15990-110,Avenida Santo Antônio,423,Centro,Matão,SP,(16) 2940-7311,(16) 98120-2052
Edson Davi Lopes,766.490.858-20,34.198.625-2,01/06/1978,Masculino,Ana Agatha,Bento Breno Elias Lopes,edson.davi.lopes@ocaconsultoria.com,15997-022,Rua Otone Corrêa,609,Bela Vista,Matão,SP,(16) 2961-5636,(16) 99320-5434
Leandro Fernando Carlos dos Santos,045.163.548-53,13.436.821-6,17/03/1988,Masculino,Luna Marcela Francisca,Oliver Thomas Erick dos Santos,leandro_fernando_dossantos@brws.com.br,15997-012,Rua Domingos Torres,466,Vivelândia,Matão,SP,(16) 3776-1687,(16) 98999-5957
Josefa Liz Adriana Monteiro,452.610.848-06,31.459.432-2,01/05/1944,Feminino,Catarina Letícia Bárbara,Martin Theo Monteiro,josefa-monteiro84@oliveiraesouza.adv.br,15997-122,Avenida Mato Grosso,647,Jardim do Bosque,Matão,SP,(16) 2933-5299,(16) 98253-0944
Rita Emanuelly Natália da Mota,913.420.298-60,39.774.140-6,09/02/2005,Feminino,Rosângela Maria Silvana,Noah Kauê Emanuel da Mota,rita-damota82@pozzer.net,15991-352,Rua Batista Gandin,356,Jardim Paraíso II,Matão,SP,(16) 3975-4729,(16) 98142-8240
Bruno Breno Sales,793.312.298-10,26.889.332-9,09/04/1980,Masculino,Manuela Maitê Jennifer,Leandro Mateus Sales,bruno_sales@dep.ufscar.br,15990-626,Avenida Armínio de Arruda Camargo,554,Nova Matão,Matão,SP,(16) 2851-1071,(16) 98368-3193
Allana Yasmin Pereira,140.196.078-26,18.300.905-8,26/05/1950,Feminino,Marina Elisa Julia,Kaique Vicente Manuel Pereira,allana_yasmin_pereira@engemanltda.com.br,15999-015,Avenida João Beretta,369,São Lourenço do Turvo,Matão,SP,(16) 3628-6714,(16) 99554-0232
Benício Tiago Ferreira,621.418.388-86,40.620.348-9,02/04/2001,Masculino,Julia Emilly Sophia,Fábio Joaquim Anthony Ferreira,benicio-ferreira80@adiretoria.com.br,15990-670,Rua Ítalo Ferreira,548,Centro,Matão,SP,(16) 3843-2626,(16) 99240-7606
Andreia Clarice Laís Melo,453.554.178-76,44.527.859-6,26/03/1977,Feminino,Malu Betina,Marcos Gael Carlos Eduardo Melo,andreia.clarice.melo@premierpet.com.br,15993-726,Avenida Pedro Henrique Parros,813,Parque Mônaco,Matão,SP,(16) 3660-1241,(16) 99230-9379
Cláudio Iago Caldeira,504.767.628-55,10.197.928-9,08/01/1944,Masculino,Agatha Luana,Marcos Vinicius Nathan Caldeira,claudio_caldeira@gameecia.com.br,15993-740,Avenida Eugênia Ruth de Souza Leite,401,Parque Mônaco,Matão,SP,(16) 2609-1051,(16) 98653-5388
Nicole Bianca Dias,860.767.378-59,17.157.097-2,07/01/1951,Feminino,Tatiane Lívia,Severino Leonardo Severino Dias,nicole_dias@l3ambiental.com.br,15990-480,Avenida Humberto Paiola,915,Recanto dos Pinheiros,Matão,SP,(16) 2995-6238,(16) 98992-7469
Alana Giovana Alves,494.292.748-05,36.916.363-1,03/03/1985,Feminino,Nina Caroline,Lucas Hugo Enzo Alves,alana_giovana_alves@santosdumonthospital.com,15990-505,Rua Itápolis,573,Nova Matão,Matão,SP,(16) 3939-2455,(16) 98980-4269
